iMAG,Ag,logSFR22,logMsT,RVel,Ai,logMHI,Dist,surface_brightness_proxy,e_logMsT,e_iMAG
-22.07,1.34,-0.62,10.58,14971,0.72,10.27,217.8,-21.141091108918793,0.11,0.11
-18.34,0.3,-0.57,8.76,6558,0.2,9.21,97.4,-16.92671547737485,0.05,0.07
-20.27,0.87,-0.59,9.63,7538,0.47,9.6,111.1,-19.11066495941965,0.08,0.08
-18.11,0.24,-0.69,8.58,6510,0.15,9.27,96.8,-17.804455918189376,0.29,0.28
-17.55,0.0,-0.97,8.59,6571,0.08,9.37,97.6,-16.26794093392834,0.06,0.08
-20.18,0.68,-0.96,10.01,7864,0.46,9.5,116.4,-19.21684399802339,0.11,0.11
-21.01,1.14,0.39,10.04,14807,0.6,9.95,215.4,-19.472035902274417,0.03,0.03
-21.58,1.22,-0.09,10.37,13125,0.67,9.88,191.4,-20.268178677662544,0.06,0.06
-18.95,0.6,-0.73,8.89,12673,0.28,10.06,184.7,-17.88683066148914,0.09,0.09
-19.5,0.67,-0.57,9.37,10758,0.36,9.8,157.3,-18.293934626889268,0.07,0.07
-20.99,1.12,-0.14,9.97,13584,0.58,9.67,197.9,-19.768549962953323,0.07,0.07
-18.04,0.12,-1.57,8.86,7242,0.15,9.17,107.0,-16.713429372344574,0.06,0.07
-18.65,0.36,-0.45,8.95,6817,0.23,9.21,101.1,-17.826740632143498,0.14,0.14
-18.96,0.53,-1.74,9.02,7241,0.28,9.35,107.0,-17.80066495941965,0.08,0.08
-18.4,0.29,-1.78,8.87,7996,0.2,9.42,118.0,-17.668325965092947,0.15,0.15
-19.72,0.63,0.08,9.25,7943,0.37,9.62,117.2,-19.222872853137087,0.21,0.2
-20.39,0.92,-0.77,9.87,9867,0.51,9.89,144.7,-18.759187034900776,0.03,0.04
-16.6,0.0,-0.57,8.04,4341,0.0,8.86,63.5,-15.25876657371358,0.06,0.09
-21.0,1.2,0.13,9.79,9613,0.59,10.15,141.4,-19.62969647872578,0.05,0.06
-20.07,0.65,-0.69,9.79,6830,0.42,9.46,101.2,-19.593449100978376,0.22,0.21
-21.35,1.22,0.11,10.2,14982,0.63,10.18,217.6,-20.238285446846387,0.08,0.08
-18.97,0.46,-1.14,9.1,8146,0.28,9.56,119.8,-18.058392216030224,0.12,0.12
-19.64,0.59,-1.26,9.52,10018,0.37,9.45,146.9,-18.78102573902481,0.13,0.12
-17.18,0.0,-1.87,8.2,5935,0.03,9.18,88.6,-15.868178677662545,0.06,0.08
-20.56,0.97,-0.08,9.82,14006,0.52,10.19,203.9,-19.248178677662544,0.06,0.06
-20.24,0.82,-0.42,9.76,13305,0.46,9.57,193.9,-19.276843998023388,0.11,0.1
-19.4,0.65,-0.76,9.26,7720,0.36,9.34,113.9,-17.930533337744702,0.04,0.05
-18.33,0.29,-0.85,8.83,7221,0.19,9.32,106.8,-17.170664959419646,0.08,0.08
-19.11,0.4,-0.93,9.32,4893,0.3,9.07,71.2,-18.233357820967075,0.13,0.13
-20.9,1.11,-0.6,9.95,14629,0.58,9.85,212.9,-19.37558607094776,0.03,0.04
-20.34,0.96,-0.57,9.63,13517,0.48,10.08,196.7,-19.35989478055994,0.1,0.1
-21.07,1.17,-0.15,10.11,12770,0.61,10.02,186.3,-19.478557927321123,0.03,0.03
-20.47,0.75,-0.02,10.13,13542,0.49,10.19,197.0,-19.541091108918792,0.11,0.11
-19.75,0.74,-0.57,9.37,13448,0.4,9.85,196.0,-18.528549962953324,0.07,0.07
-19.41,0.59,-2.01,9.51,9288,0.36,9.73,136.1,-17.727638816893936,0.03,0.04
-20.59,0.94,0.06,10.0,9790,0.53,9.82,143.7,-19.148466589240016,0.04,0.05
-19.61,0.56,-0.57,9.53,14599,0.35,10.04,212.5,-19.238949987204315,0.26,0.24
-20.92,0.96,-0.57,10.31,13279,0.58,10.19,193.5,-19.50671547737485,0.05,0.05
-18.87,0.47,-0.57,9.14,7971,0.27,9.66,117.7,-17.758285446846386,0.09,0.09
-18.5,0.12,-1.12,9.32,7958,0.22,9.3,117.4,-17.45322416285454,0.1,0.1
-20.09,0.7,0.0,9.65,7884,0.42,9.36,116.4,-19.592872853137088,0.21,0.2
-18.92,0.42,-0.94,9.15,5199,0.28,9.57,75.6,-17.395586070947765,0.04,0.07
-21.5,1.26,-0.04,10.32,13645,0.67,9.96,198.8,-20.00290874727824,0.04,0.04
-20.04,0.76,-0.57,9.43,12660,0.41,10.11,184.8,-19.605116732191405,0.24,0.22
-18.0,0.25,-1.03,8.6,6953,0.14,9.33,103.0,-17.249738518874153,0.15,0.14
-17.91,0.14,-1.06,8.62,6432,0.13,9.15,95.7,-16.688549962953324,0.07,0.08
-20.07,0.82,-0.71,9.69,12893,0.46,9.32,188.0,-18.40042656856086,0.03,0.03
-19.83,0.78,-0.84,9.55,13638,0.42,9.93,198.7,-18.173280067311907,0.03,0.03
-17.88,0.19,-0.33,8.47,5165,0.13,9.29,75.1,-16.91684399802339,0.11,0.12
-18.62,0.34,-0.57,9.0,5410,0.24,9.37,78.6,-17.476437882402813,0.08,0.1
-19.9,0.77,-0.58,9.41,8088,0.41,9.62,119.1,-18.953908910699386,0.11,0.11
-22.06,1.46,0.04,10.62,14106,0.74,10.06,205.4,-20.838549962953323,0.07,0.07
-18.44,0.28,-1.96,8.9,7589,0.2,9.37,112.2,-17.963449100978377,0.22,0.21
-18.24,0.25,-0.57,8.76,6869,0.18,9.34,101.6,-16.798466589240014,0.05,0.06
-20.65,0.99,-0.55,9.88,13799,0.51,10.06,200.8,-19.99408933883127,0.17,0.16
-21.8,1.39,-0.06,10.49,13838,0.71,10.06,201.6,-20.289210082866678,0.04,0.04
-19.54,0.73,-0.57,9.26,12730,0.38,9.58,185.6,-17.988558780687224,0.03,0.03
-19.83,0.68,-0.57,9.34,12723,0.4,9.78,185.4,-19.1359206585043,0.16,0.15
-17.97,0.21,-0.57,8.58,7429,0.14,9.46,109.9,-16.748549962953323,0.07,0.08
-17.84,0.1,-0.57,8.69,7626,0.12,9.54,112.6,-16.809725872932916,0.1,0.1
-18.41,0.29,-0.57,8.84,7682,0.2,9.46,113.5,-17.622973150399915,0.14,0.14
-18.05,0.18,-0.57,8.77,7023,0.15,9.44,103.8,-17.31832596509295,0.15,0.15
-20.0,0.76,-0.57,9.67,8055,0.44,9.48,118.8,-18.658766573713578,0.05,0.06
-20.81,1.09,-0.57,9.97,17268,0.57,10.22,250.6,-19.285586070947762,0.04,0.03
-19.38,0.56,-0.87,9.33,7923,0.34,9.58,117.0,-18.538819408446965,0.13,0.13
-18.74,0.52,-1.55,8.94,10459,0.25,9.67,153.2,-17.54941455250907,0.07,0.07
-21.83,1.17,-0.49,10.58,14072,0.67,10.09,204.9,-21.193394454066045,0.18,0.17
-19.59,0.68,-0.8,9.36,7499,0.37,9.86,110.9,-18.543224162854536,0.1,0.1
-21.9,1.33,-0.08,10.5,12894,0.71,10.14,188.1,-20.820543958936153,0.09,0.09
-20.12,0.84,-0.65,9.68,10823,0.46,9.95,158.5,-18.70671547737485,0.05,0.05
-21.59,1.3,0.31,10.27,15157,0.67,10.0,220.1,-20.338061780218776,0.07,0.06
-18.37,0.25,-1.54,8.95,7956,0.2,9.53,117.1,-17.118061780218778,0.07,0.07
-19.53,0.62,-0.99,9.32,6768,0.36,9.34,100.3,-18.79832596509295,0.15,0.15
-19.17,0.54,-0.57,9.02,12696,0.29,9.89,185.0,-18.756213903806067,0.24,0.23
-20.9,1.09,0.16,9.91,12639,0.58,9.58,184.2,-19.458466589240015,0.04,0.04
-20.24,0.9,-0.22,9.74,12584,0.48,9.83,183.4,-18.583280067311907,0.03,0.03
-18.31,0.28,-1.18,8.68,4711,0.19,8.98,68.8,-17.15066495941965,0.08,0.1
-18.78,0.4,-1.08,9.05,8165,0.25,9.66,120.1,-18.10493215696735,0.16,0.16
-19.98,0.77,-0.88,9.69,13767,0.44,9.94,200.4,-18.496682886805665,0.04,0.04
-19.09,0.58,-0.57,8.99,10120,0.3,9.89,148.5,-18.043224162854536,0.09,0.09
-17.97,0.12,-1.96,8.7,6679,0.14,9.37,98.9,-17.238325965092947,0.15,0.15
-19.71,0.72,-0.57,9.29,13293,0.38,9.87,193.4,-18.904791252077217,0.14,0.13
-20.61,0.99,-0.44,9.97,8123,0.54,9.6,119.6,-19.005365284569013,0.03,0.04
-17.84,0.1,-0.86,8.63,7603,0.12,9.27,112.6,-16.85989478055994,0.11,0.11
-20.65,1.06,-0.22,9.76,13807,0.53,10.16,200.9,-19.443934626889266,0.07,0.07
-19.77,0.73,-1.17,9.47,8008,0.41,9.72,118.1,-18.47301551646208,0.06,0.06
-19.11,0.53,-1.61,9.27,10288,0.32,9.51,150.8,-17.45328006731191,0.03,0.04
-20.4,0.99,-0.38,9.47,13251,0.49,9.94,193.2,-19.386337229729588,0.1,0.09
-18.85,0.32,-0.56,9.3,4719,0.27,8.83,68.9,-17.422551133535656,0.05,0.08
-19.44,0.68,-1.84,9.31,15355,0.36,9.74,223.0,-17.796199992708015,0.03,0.03
-19.11,0.46,-1.79,9.16,10500,0.29,9.63,153.8,-18.675116732191405,0.23,0.22
-20.16,0.87,-0.56,9.55,13107,0.45,10.15,191.2,-19.19684399802339,0.11,0.1
-17.49,0.03,-0.57,8.47,4313,0.07,9.02,63.2,-16.163429372344574,0.06,0.1
-21.5,1.25,0.02,10.18,12737,0.65,10.05,185.5,-20.30941455250907,0.07,0.07
-18.3,0.33,-3.01,8.78,6882,0.19,9.65,102.1,-16.944189272936597,0.05,0.07
-16.81,0.0,-1.2,8.08,4276,0.0,9.12,62.6,-15.43969647872578,0.06,0.09
-19.31,0.57,-1.11,9.21,11226,0.34,9.54,164.2,-18.103934626889266,0.07,0.07
-20.92,0.94,0.35,10.2,12586,0.58,10.11,183.3,-19.5641892729366,0.05,0.05
-19.64,0.71,-0.57,9.31,11929,0.38,9.89,174.0,-18.763357820967077,0.12,0.12
-18.83,0.38,-0.57,9.07,8784,0.25,9.82,129.2,-18.272141121714473,0.2,0.19
-18.25,0.17,-1.18,8.86,8367,0.19,9.48,123.5,-16.766682886805665,0.05,0.06
-18.13,0.22,-2.36,8.74,7075,0.16,9.4,104.9,-17.00231095159946,0.08,0.09
-20.51,0.98,-0.37,9.87,12902,0.52,10.13,187.8,-18.918557927321125,0.03,0.03
-18.92,0.51,-1.49,8.94,6749,0.28,9.55,100.1,-17.92305970010658,0.1,0.11
-21.09,1.05,-0.15,10.34,9284,0.6,9.91,136.6,-19.71969647872578,0.05,0.06
-19.83,0.72,-0.57,9.5,6657,0.41,9.57,98.6,-19.07973851887415,0.09,0.1
-17.77,0.1,-0.57,8.62,6766,0.11,9.35,100.3,-16.35671547737485,0.05,0.07
-17.86,0.12,-1.86,8.64,6543,0.12,9.37,97.2,-17.054791252077216,0.14,0.14
-19.43,0.46,-0.78,9.51,7934,0.33,9.6,117.0,-18.953449100978375,0.22,0.21
-19.62,0.56,-1.91,9.51,13997,0.36,9.9,203.9,-19.02245774882375,0.18,0.17
-20.81,1.11,-0.16,9.85,10269,0.56,9.81,150.6,-19.368466589240015,0.04,0.05
-19.98,0.73,-0.84,9.54,6734,0.42,9.39,99.7,-19.138819408446967,0.13,0.13
-19.76,0.68,-0.7,9.44,6132,0.4,9.59,91.1,-18.538549962953326,0.07,0.08
-17.93,0.0,-0.74,8.85,6774,0.14,9.6,100.5,-16.574189272936596,0.06,0.07
-21.31,1.22,0.37,10.18,16555,0.64,10.1,240.3,-19.772035902274414,0.03,0.03
-17.18,0.0,-1.67,8.34,5690,0.03,8.69,82.9,-15.958549962953322,0.07,0.08
-19.14,0.56,-0.64,9.22,9725,0.31,9.62,142.6,-17.84301551646208,0.06,0.06
-17.82,0.18,-1.58,8.49,6094,0.12,9.11,90.6,-16.78972587293292,0.1,0.1
-18.08,0.21,-0.57,8.69,5707,0.16,9.1,82.9,-16.88941455250907,0.08,0.09
-21.04,1.13,-0.29,10.02,12641,0.59,9.9,184.1,-19.626715477374848,0.05,0.05
-19.49,0.73,-0.85,9.38,10048,0.37,9.8,147.5,-18.034460950368338,0.04,0.05
-19.83,0.79,-0.78,9.34,14084,0.4,10.06,204.8,-19.042973150399913,0.14,0.13
-17.73,0.07,-2.7,8.62,4410,0.1,8.95,64.6,-16.683224162854536,0.1,0.12
-18.2,0.26,-0.88,8.8,6614,0.18,9.34,98.3,-16.93295599407887,0.07,0.08
-19.33,0.61,-0.8,9.13,10310,0.33,9.88,151.2,-18.435813889320457,0.12,0.12
-19.63,0.68,-1.02,9.22,16072,0.36,10.08,233.5,-19.153449100978374,0.22,0.21
-19.06,0.5,-0.57,9.16,8001,0.3,9.47,118.0,-17.704189272936596,0.05,0.06
-19.56,0.61,-0.7,9.36,11793,0.35,9.94,172.0,-19.104196108015113,0.22,0.21
-16.75,0.0,-0.57,8.02,4591,0.0,9.18,67.2,-15.622310951599458,0.09,0.1
-17.51,0.1,-0.57,8.32,6588,0.07,9.36,97.8,-16.932220697591536,0.19,0.18
-18.61,0.4,-0.89,8.81,8310,0.23,9.34,122.6,-17.61305970010658,0.1,0.1
-17.0,0.0,-1.35,8.52,6533,0.0,9.48,97.1,-15.330426568560862,0.04,0.06
-18.81,0.49,-0.57,9.02,7577,0.27,9.61,112.1,-17.35446095036834,0.04,0.05
-19.93,0.73,-0.78,9.62,11492,0.44,9.58,167.8,-18.351820557895355,0.03,0.04
-18.4,0.29,-1.17,8.88,8724,0.2,9.7,128.5,-17.320543958936153,0.09,0.09
-19.72,0.73,-0.57,9.42,14118,0.4,10.19,205.3,-18.335287216933907,0.05,0.05
-20.11,0.85,-0.57,9.65,9460,0.45,9.74,139.1,-18.91941455250907,0.07,0.08
-17.77,0.12,-0.87,8.56,6142,0.11,9.26,91.3,-16.928819408446966,0.13,0.14
-20.05,0.86,-0.57,9.56,13983,0.45,9.88,203.7,-18.539210082866678,0.04,0.04
-20.38,0.88,-0.63,9.78,9021,0.48,10.05,132.8,-19.39989478055994,0.11,0.1
-20.92,1.19,-0.04,9.99,16588,0.58,10.2,240.8,-19.54969647872578,0.05,0.05
-21.0,1.13,-0.41,10.06,12864,0.59,9.77,187.3,-19.489210082866677,0.04,0.04
-18.14,0.0,-0.89,9.29,6008,0.16,9.57,89.4,-17.427052644415845,0.16,0.16
-19.4,0.65,-0.73,9.16,15765,0.34,10.13,229.2,-18.488392216030224,0.12,0.11
-18.87,0.41,-0.57,9.14,8272,0.27,9.61,121.7,-17.958392216030227,0.12,0.12
-19.21,0.53,-0.86,9.23,8271,0.32,9.61,121.7,-18.130543958936155,0.09,0.09
-19.2,0.53,-0.61,9.17,6664,0.33,9.45,98.8,-17.648558780687225,0.04,0.05
-17.77,0.21,-0.57,8.63,7424,0.11,9.39,110.0,-16.27290874727824,0.05,0.06
-20.3,0.8,-0.57,9.93,9284,0.47,9.7,136.5,-19.269725872932916,0.1,0.1
-21.67,1.22,0.11,10.47,12041,0.67,10.2,175.6,-20.72390891069939,0.11,0.11
-17.56,0.04,-1.65,8.44,4444,0.08,8.96,65.0,-16.146715477374848,0.05,0.09
-19.12,0.45,-0.31,9.2,6696,0.29,9.16,99.2,-18.52245774882375,0.19,0.18
-19.76,0.7,-0.38,9.4,6702,0.41,9.3,99.4,-18.332551133535656,0.05,0.06
-21.2,1.01,-0.13,10.5,11014,0.63,9.86,161.1,-19.517638816893935,0.03,0.03
-17.24,0.0,-1.2,8.53,6137,0.03,9.12,91.3,-16.09643788240281,0.08,0.09
-20.76,0.95,-0.23,9.97,6611,0.53,9.76,98.1,-19.9912882506301,0.15,0.14
-18.92,0.43,-0.84,9.25,7367,0.28,9.56,109.2,-17.683259395409735,0.07,0.07
-18.14,0.24,-1.38,8.71,5076,0.16,9.61,74.2,-17.228392216030226,0.12,0.13
-17.54,0.19,-1.38,8.27,4694,0.08,9.18,68.5,-16.24301551646208,0.07,0.09
-19.86,0.77,-0.3,9.57,12863,0.43,9.68,187.5,-18.164916143125257,0.03,0.03
-18.56,0.36,-0.78,8.9,6600,0.23,9.81,98.0,-17.38499092688566,0.08,0.08
-20.46,0.99,-0.22,9.75,16189,0.51,10.29,235.1,-19.07528721693391,0.05,0.05
-18.09,0.18,-1.21,8.71,5126,0.15,9.0,74.9,-17.339738518874153,0.15,0.15
-21.36,1.22,-0.18,10.34,11451,0.65,9.52,167.2,-19.627132048600135,0.03,0.03
-17.53,0.0,-0.57,8.57,4997,0.08,9.07,73.0,-16.49972587293292,0.1,0.11
-18.42,0.21,-1.19,9.02,6097,0.19,9.2,90.7,-17.964196108015116,0.22,0.21
-18.56,0.31,-0.57,9.08,6554,0.23,9.08,97.2,-16.903280067311908,0.03,0.05
-18.73,0.44,-0.72,8.97,6543,0.25,9.62,97.2,-17.76684399802339,0.11,0.11
-17.7,0.09,-1.3,8.43,4724,0.1,9.28,68.9,-16.858819408446966,0.13,0.14
-20.54,1.03,-0.73,9.86,8156,0.53,9.95,120.1,-18.909187034900775,0.03,0.04
-18.28,0.17,-1.15,8.99,8268,0.17,9.77,121.7,-17.866213903806067,0.24,0.23
-19.14,0.57,-1.3,9.29,11666,0.32,9.64,170.3,-17.419663403159,0.03,0.03
-20.92,1.01,-0.14,10.14,8083,0.57,9.69,119.2,-19.623015516462083,0.06,0.07
-17.68,0.08,-0.57,8.63,6393,0.1,9.21,95.3,-16.324189272936596,0.06,0.07
-19.63,0.72,-0.57,9.41,14933,0.39,9.9,217.1,-17.973280067311908,0.03,0.03
-19.98,0.81,-1.24,9.56,8948,0.44,9.57,131.8,-18.469210082866677,0.04,0.05
-21.09,0.91,0.34,10.28,15587,0.56,9.98,226.6,-20.592872853137088,0.21,0.2
-20.99,1.09,-0.1,9.99,14509,0.58,10.12,210.9,-19.783934626889266,0.07,0.07
-20.38,0.91,-0.64,9.87,8808,0.51,9.9,129.5,-18.71042656856086,0.03,0.04
-19.68,0.64,-0.21,9.33,13170,0.37,9.89,192.0,-19.182872853137088,0.21,0.2
-20.23,0.83,-0.22,9.58,11960,0.44,10.03,174.6,-19.672141121714475,0.19,0.18
-20.7,1.01,0.09,9.79,8557,0.53,9.52,126.0,-19.823357820967075,0.12,0.12
-19.75,0.8,-0.57,9.38,8318,0.4,9.56,122.4,-18.408766573713578,0.05,0.06
-19.14,0.58,-0.57,9.16,13976,0.32,9.85,203.6,-17.561820557895356,0.04,0.04
-20.81,0.93,0.03,9.91,13180,0.52,10.14,191.9,-20.292464576539185,0.21,0.2
-19.87,0.68,-0.61,9.43,8178,0.39,9.86,120.5,-19.435116732191407,0.23,0.22
-19.71,0.64,-0.57,9.48,16044,0.38,9.87,233.2,-19.092849805171188,0.18,0.17
-17.86,0.08,-1.78,8.75,5247,0.13,9.03,76.5,-16.748285446846385,0.09,0.1
-19.41,0.67,-0.57,9.19,13600,0.35,9.85,197.9,-17.982551133535654,0.04,0.04
-19.92,0.74,-1.59,9.61,8453,0.42,9.66,124.6,-18.824362672672112,0.09,0.09
-22.33,1.43,0.57,10.63,15221,0.75,10.52,221.2,-21.506740632143497,0.13,0.12
-19.77,0.7,-0.47,9.52,11084,0.39,9.8,162.1,-18.858392216030225,0.12,0.11
-21.75,1.29,0.48,10.51,11350,0.7,9.9,165.9,-20.37969647872578,0.05,0.05
-16.83,0.0,-1.74,8.15,4588,0.0,8.92,67.2,-15.3605333377447,0.05,0.08
-19.51,0.65,-1.46,9.25,6308,0.35,9.53,94.0,-18.77832596509295,0.15,0.15
-19.57,0.71,-1.51,9.35,9046,0.37,9.75,132.9,-18.30295599407887,0.06,0.07
-22.02,1.33,0.13,10.73,14757,0.74,9.99,214.6,-20.635287216933904,0.05,0.05
-20.22,0.76,-0.1,9.88,6465,0.47,9.41,96.2,-19.07643788240281,0.08,0.09
-18.25,0.27,-1.38,8.84,5921,0.18,9.51,88.3,-17.07499092688566,0.08,0.09
-19.44,0.72,-1.17,9.16,13896,0.36,9.93,202.5,-17.902035902274417,0.04,0.04
-20.44,0.97,-0.27,9.78,11677,0.51,9.69,170.7,-18.848557927321124,0.03,0.04
-19.18,0.52,-1.66,9.27,6346,0.32,9.6,94.4,-17.696682886805664,0.04,0.06
-21.41,1.28,0.33,10.22,14982,0.66,10.12,217.8,-19.858558780687225,0.03,0.03
-19.83,0.72,-1.03,9.5,8043,0.41,9.42,119.1,-18.45969647872578,0.09,0.1
-20.51,0.97,-0.06,9.66,13301,0.51,10.37,193.9,-19.414362672672112,0.09,0.08
-20.47,0.94,-0.17,9.69,13895,0.49,10.16,202.5,-19.664791252077215,0.14,0.13
-20.54,0.83,-0.04,9.95,9000,0.5,9.45,132.6,-19.716740632143498,0.14,0.13
-19.14,0.64,-1.23,9.03,9137,0.31,9.87,134.6,-17.949414552509072,0.07,0.08
-21.4,1.08,-0.17,10.24,15012,0.6,10.36,218.5,-20.842141121714473,0.2,0.19
-20.09,0.81,-0.38,9.62,8965,0.45,9.92,132.1,-18.763429372344575,0.06,0.06
-21.23,1.2,-0.29,10.24,9257,0.63,10.04,136.3,-19.719210082866677,0.04,0.05
-20.62,0.93,-0.41,9.92,10366,0.52,9.62,152.1,-19.573224162854537,0.09,0.09
-20.87,0.83,0.6,10.27,7786,0.53,9.67,115.3,-20.312141121714475,0.2,0.19
-19.62,0.68,-0.53,9.18,9681,0.37,9.43,142.4,-18.7967406321435,0.13,0.13
-20.31,0.88,-0.14,9.64,9923,0.47,9.71,145.8,-19.504791252077215,0.14,0.13
-22.15,1.2,0.14,10.77,9574,0.71,9.8,140.8,-21.592141121714473,0.2,0.19
-18.85,0.53,-0.22,8.74,8924,0.27,9.68,131.6,-17.81972587293292,0.1,0.1
-21.18,1.14,-0.42,10.03,8052,0.61,9.91,119.1,-19.973934626889267,0.07,0.08
-19.83,0.72,-1.49,9.5,3683,0.41,8.97,55.0,-18.73436267267211,0.09,0.1
-19.83,0.72,-0.57,9.5,37,0.41,5.67,0.4,-18.702310951599458,0.09,0.1
-16.68,0.0,-0.57,8.17,5031,0.0,9.21,74.2,-15.309696478725781,0.06,0.08
-20.37,0.83,-1.2,9.76,13878,0.47,10.06,202.8,-19.714089338831272,0.17,0.16
-21.51,1.32,0.07,10.18,13533,0.67,10.17,197.6,-20.026682886805666,0.04,0.04
-19.26,0.6,-1.36,9.21,8871,0.33,9.3,130.9,-17.9041892729366,0.05,0.06
-17.47,0.01,-1.58,8.47,5134,0.07,9.25,75.6,-16.34231095159946,0.09,0.1
-19.83,0.72,-0.57,9.5,5169,0.41,9.09,76.1,-18.56295599407887,0.09,0.1
-20.06,0.76,-0.64,9.69,8981,0.45,9.68,132.4,-18.576682886805663,0.04,0.05
-16.34,0.0,-0.57,8.08,4974,0.0,9.06,73.7,-15.534791252077216,0.14,0.14
-19.83,0.72,-2.96,9.5,1517,0.41,7.72,24.2,-18.578061780218775,0.09,0.1
-16.87,0.0,-2.12,8.35,3152,0.0,8.53,48.0,-15.400533337744703,0.06,0.11
-19.83,0.72,-2.64,9.5,1461,0.41,7.92,23.4,-18.488766573713576,0.09,0.1
-19.83,0.72,-1.54,9.5,2581,0.41,8.35,39.7,-19.212849805171185,0.09,0.1
-17.41,0.0,-1.57,8.46,9482,0.06,9.77,140.2,-16.173259395409733,0.07,0.07
-19.83,0.72,-0.57,9.5,3316,0.41,8.59,50.4,-18.374460950368338,0.09,0.1
-21.28,1.25,0.07,10.1,17461,0.63,10.35,253.6,-19.769210082866678,0.04,0.03
-15.5,0.0,-0.57,7.63,4264,0.0,8.76,63.6,-14.00290874727824,0.06,0.09
-19.83,0.72,-0.57,9.5,2473,0.41,8.75,38.1,-18.783224162854538,0.09,0.1
-18.3,0.3,-0.57,8.87,9221,0.19,9.2,136.1,-16.762035902274416,0.04,0.05
-19.83,0.72,-0.95,9.5,14830,0.41,10.01,216.2,-19.212849805171185,0.09,0.1
-17.8,0.08,-1.61,8.65,9096,0.12,9.73,134.3,-16.248558780687226,0.05,0.06
-17.57,0.11,-1.94,8.29,5155,0.08,9.09,76.0,-16.801288250630098,0.15,0.15
-18.17,0.24,-0.65,8.79,14404,0.17,9.94,210.1,-16.618558780687227,0.04,0.04
-19.83,0.72,-0.57,9.5,14479,0.41,10.03,211.2,-18.445287216933906,0.09,0.1
-19.83,0.72,-2.82,9.5,1295,0.41,7.47,20.7,-18.799725872932918,0.09,0.1
-20.64,1.07,-0.57,9.7,14328,0.52,10.26,209.1,-19.62633722972959,0.1,0.1
-22.13,1.45,0.53,10.68,11840,0.77,9.78,173.6,-20.42225788823389,0.03,0.03
-22.73,1.64,0.43,10.77,16842,0.81,10.45,245.1,-21.9067406321435,0.14,0.13
-19.8,0.72,-0.46,9.58,9862,0.41,9.68,145.4,-18.34446095036834,0.04,0.05
-21.48,1.28,0.06,10.34,14976,0.66,10.04,218.5,-19.955586070947763,0.03,0.04
-19.83,0.72,-0.57,9.5,3947,0.41,8.82,59.4,-18.702310951599458,0.09,0.1
-19.83,0.72,-0.57,9.5,2848,0.41,8.95,43.6,-18.702310951599458,0.09,0.1
-19.83,0.72,-0.57,9.5,2882,0.41,8.86,44.0,-18.702310951599458,0.09,0.1
-19.83,0.72,-0.57,9.5,1396,0.41,8.32,22.2,-19.1359206585043,0.09,0.1
-21.79,1.39,0.47,10.45,17260,0.71,10.27,250.9,-20.159187034900775,0.03,0.03
-16.07,0.0,-1.93,7.83,3892,0.0,8.91,58.8,-14.787940933928342,0.07,0.1
-19.83,0.72,-1.58,9.5,5384,0.41,9.14,79.4,-18.445287216933906,0.09,0.1
-17.2,0.1,-0.57,8.14,10462,0.03,9.67,154.1,-16.622220697591533,0.19,0.18
-14.75,0.0,-0.57,7.32,2016,0.0,8.1,31.4,-13.132241894853653,0.08,0.16
-20.03,0.77,-0.57,9.38,13461,0.41,10.19,197.0,-19.574196108015116,0.23,0.21
-18.58,0.36,-1.77,8.93,6356,0.23,9.1,95.6,-17.195287216933906,0.05,0.07
-15.92,0.0,-1.66,7.7,3152,0.0,8.42,48.1,-14.991091108918793,0.12,0.15
-16.95,0.0,-1.4,8.43,5009,0.0,9.01,74.3,-15.358557927321122,0.04,0.07
-22.03,1.31,0.38,10.53,17512,0.71,10.38,255.0,-21.29832596509295,0.15,0.14
-19.83,0.72,-0.57,9.5,5354,0.41,8.88,79.0,-18.702310951599458,0.09,0.1
-19.83,0.72,-2.33,9.5,2168,0.41,8.59,33.6,-18.56295599407887,0.09,0.1
-19.83,0.72,-1.38,9.5,12581,0.41,9.93,184.6,-18.84989478055994,0.09,0.1
-19.04,0.39,-1.71,9.16,9740,0.29,9.71,143.4,-18.145813889320458,0.12,0.12
-19.83,0.72,-1.11,9.5,3647,0.41,8.96,55.2,-19.07973851887415,0.09,0.1
-19.83,0.72,-0.57,9.5,5619,0.41,8.95,82.6,-18.935813889320457,0.09,0.1
-18.07,0.26,-0.57,8.72,8398,0.16,9.5,124.5,-16.439187034900776,0.04,0.05
-19.83,0.72,-1.89,9.5,1374,0.41,7.85,22.0,-18.90109110891879,0.09,0.1
-18.79,0.33,-0.81,9.1,7609,0.24,9.57,113.4,-18.313449100978374,0.22,0.21
-14.14,0.0,-2.99,6.99,1886,0.0,8.18,29.5,-13.334791252077217,0.15,0.21
-17.0,0.0,-0.57,8.1,6457,0.0,9.2,97.0,-16.650595144062102,0.27,0.26
-17.51,0.16,-0.57,8.16,6742,0.07,9.35,99.8,-16.598392216030227,0.12,0.12
-19.83,0.72,-0.57,9.5,5267,0.41,9.49,77.9,-18.388466589240014,0.09,0.1
-17.76,0.05,-0.57,8.73,12027,0.11,9.41,176.5,-16.181820557895357,0.04,0.04
-19.83,0.72,-0.57,9.5,8214,0.41,9.22,121.1,-18.109663403158997,0.09,0.1
-19.83,0.72,-1.62,9.5,9819,0.41,9.53,144.1,-18.578061780218775,0.09,0.1
