iMAG,Ag,logSFR22,logMsT,RVel,Ai,logMHI,Dist,surface_brightness_proxy,e_logMsT,e_iMAG
-19.4,0.53,-2.48,9.42,5277,0.34,9.2,56.8,-18.505813889320457,0.21,0.44
-20.97,0.92,-0.46,10.17,7026,0.55,9.36,95.7,-20.2759206585043,0.16,0.16
-21.5,1.15,-0.65,10.63,5352,0.67,9.91,82.2,-19.935153922833763,0.06,0.12
-22.7,1.39,-0.23,11.13,5688,0.82,9.49,82.2,-21.71989478055994,0.11,0.15
-20.31,0.88,-0.6,9.63,4488,0.47,9.74,71.5,-19.398392216030224,0.22,0.47
-19.14,0.41,-0.57,9.33,5635,0.29,9.45,79.5,-18.663449100978376,0.22,0.22
-22.54,1.59,0.16,10.84,5381,0.82,10.2,75.7,-21.112551133535653,0.05,0.09
-22.11,1.36,0.08,10.69,7091,0.74,9.61,96.6,-21.04683066148914,0.09,0.1
-18.54,0.41,-1.51,8.9,4755,0.23,9.39,66.8,-17.155287216933907,0.06,0.08
-23.21,1.76,0.34,11.27,12144,0.93,10.23,168.5,-21.51491614312526,0.03,0.03
-20.49,0.9,-0.63,9.79,5235,0.49,10.03,87.9,-19.777052644415843,0.24,0.48
-19.62,0.72,-0.64,9.32,3904,0.39,9.15,54.6,-18.24969647872578,0.06,0.11
-18.2,0.23,-1.18,8.76,6108,0.16,9.27,86.5,-17.744196108015114,0.23,0.22
-19.78,0.72,-0.86,9.51,5717,0.4,9.58,80.7,-18.57393462688927,0.08,0.09
-20.35,0.88,-0.31,9.6,5314,0.47,9.58,64.6,-19.544791252077218,0.22,0.46
-21.29,1.13,0.33,10.3,5682,0.63,10.13,85.5,-20.00794093392834,0.18,0.44
-20.42,0.93,-0.36,9.71,7218,0.49,9.72,98.4,-19.308285446846387,0.09,0.09
-21.1,1.18,0.05,10.04,5312,0.61,10.25,74.8,-19.58921008286668,0.04,0.07
-17.98,0.1,-3.43,8.83,842,0.13,9.55,18.4,-17.630595144062102,0.32,0.51
-21.17,1.07,0.64,10.42,4839,0.61,9.7,68.0,-19.96393462688927,0.08,0.1
-20.66,0.99,-0.03,9.97,5281,0.54,9.66,74.3,-19.081820557895355,0.04,0.07
-19.42,0.52,-1.28,9.47,4669,0.34,8.95,58.6,-18.56102573902481,0.22,0.47
-22.23,1.33,0.47,10.64,6801,0.73,10.18,92.6,-21.55493215696735,0.17,0.16
-22.28,1.37,0.43,10.73,8668,0.75,10.36,118.8,-21.33390891069939,0.11,0.11
-21.6,1.26,0.24,10.41,5168,0.68,9.64,72.7,-20.14446095036834,0.05,0.08
-21.33,1.22,-0.09,10.27,4392,0.64,9.76,61.5,-19.974189272936595,0.06,0.09
-19.99,0.73,-0.59,9.65,4553,0.43,9.33,55.5,-18.943224162854534,0.2,0.45
-22.36,1.44,0.41,10.74,11756,0.75,10.15,162.9,-21.591288250630097,0.14,0.14
-22.43,1.47,-0.57,10.89,4766,0.8,9.5,66.9,-21.05969647872578,0.06,0.09
-21.22,1.08,-0.57,10.02,11183,0.58,10.24,154.8,-20.662141121714473,0.2,0.19
-22.25,1.34,0.05,10.78,10170,0.75,10.53,140.5,-21.373357820967076,0.12,0.12
-20.57,1.01,-0.29,9.68,5274,0.52,10.03,74.2,-19.44231095159946,0.09,0.11
-22.64,1.58,0.4,10.93,12718,0.83,10.23,176.7,-21.212551133535655,0.05,0.05
-19.23,0.53,-1.75,9.35,5344,0.32,9.39,75.0,-17.978061780218777,0.07,0.09
-22.11,1.43,0.71,10.45,11441,0.74,10.34,158.4,-21.04683066148914,0.09,0.09
-21.77,1.17,0.23,10.56,6294,0.68,9.89,86.7,-20.893357820967076,0.21,0.44
-19.83,0.72,-0.7,9.5,2133,0.41,9.83,29.1,-19.374196108015113,0.09,0.1
-21.93,1.25,-0.01,10.74,7409,0.72,9.66,101.1,-20.618178677662545,0.06,0.07
-21.12,1.07,0.68,10.24,5597,0.6,9.41,78.9,-19.91393462688927,0.08,0.09
-22.78,1.56,1.41,11.02,13011,0.85,9.64,180.9,-21.468178677662547,0.06,0.06
-19.33,0.34,-0.57,9.53,4923,0.32,9.42,69.2,-18.712849805171185,0.18,0.18
-18.63,0.33,-0.57,9.02,5600,0.23,9.59,78.9,-17.583224162854535,0.1,0.11
-19.79,0.7,-0.87,9.49,4388,0.4,9.55,42.3,-18.678285446846385,0.2,0.45
-20.04,0.69,-0.89,9.75,4360,0.44,9.59,61.3,-19.00972587293292,0.11,0.18
-21.59,1.04,-0.05,10.53,9591,0.63,10.12,132.3,-20.99245774882375,0.18,0.18
-21.97,1.26,0.35,10.54,6308,0.7,10.27,84.3,-21.257052644415843,0.24,0.48
-19.45,0.59,-1.18,9.34,4291,0.35,9.55,64.0,-18.644791252077216,0.22,0.44
-19.76,0.78,-0.76,9.39,4086,0.41,9.82,57.1,-18.41876657371358,0.06,0.09
-19.46,0.62,-1.04,9.36,3991,0.36,9.6,55.7,-18.284990926885662,0.08,0.11
