lgMHI,lgMstar,NUVr,lgmust,lgSFR_tot_median,W50cor,INCL,lvir_ratB
8.774,10.346,5.88,9.24,-1.5113772,0.0,34.5,-4.2581973
8.449,9.130606,2.77,7.81,-0.7233787,94.0,60.0,-0.86336905
8.237,9.953118,5.25,9.07,-0.80986816,0.0,77.4,-0.3219632
8.067,9.313442,3.96,8.26,-1.382765,0.0,38.7,-0.43299824
7.901,9.15914,3.48,8.18,-1.11919,82.0,69.3,-0.7427559
8.432,10.045741,5.65,9.14,-1.7065068,0.0,39.7,-0.73174983
8.255,9.011273,3.64,8.31,-1.3254768,148.0,64.8,-0.06175985
8.395,10.089182,5.24,9.31,-1.4761745,0.0,52.7,-1.2175902
8.644,10.137,4.97,8.6,-0.53469366,0.0,79.2,-0.42236006
8.027,9.369645,3.25,8.19,-0.81199354,0.0,51.8,-0.36054245
8.666,10.215,5.91,8.9,-1.624436,0.0,40.1,-0.7372169
9.89,9.755807,1.87,8.77,0.27485806,106.0,30.3,-2.4450955
9.13,10.241,4.55,8.97,-1.0515151,311.0,79.9,-0.5239984
9.75,9.088653,1.54,7.66,-0.59575826,193.0,90.0,0.058403056
9.61,10.477,3.17,8.89,-0.287982,115.0,31.9,-4.546732
10.11,10.101,2.63,8.43,-0.12618421,355.0,57.6,-0.09735275
9.635,11.137,4.58,9.04,-1.0052174,458.0,57.2,-1.0501055
9.915,10.89,2.59,8.69,-0.886508,308.0,36.6,-0.036707234
8.543,9.042074,2.38,8.9,-0.6673315,74.0,43.7,-0.33353192
9.287,9.636974,2.18,7.77,-0.2587743,118.0,40.1,-0.24205752
9.47,11.32,4.13,9.01,-0.6470589,286.0,42.1,-0.93163806
8.97,9.516364,2.66,8.2,-0.3573934,210.0,69.3,-0.48615772
9.86,10.084085,2.42,8.72,0.10673282,253.0,40.4,-0.20649767
9.21,9.749454,2.25,8.63,-0.09633113,173.0,45.8,-0.6703515
8.83,9.980089,3.06,8.21,-0.7970083,231.0,46.1,-0.5168381
8.125,9.344268,3.66,8.23,-1.0567944,102.0,32.5,-0.2810544
9.368,9.451381,5.52,8.7,-1.9883928,460.0,59.4,-0.17334272
9.48,9.5621195,2.3,8.15,-0.44511157,228.0,73.1,0.037652683
9.842,10.009,3.11,8.57,-0.5841378,416.0,61.4,-0.7044263
9.95,9.837106,1.66,7.77,0.6753014,81.0,28.7,-3.8025415
9.026,9.9385,3.41,8.72,-0.20104147,212.0,70.7,-0.32867104
10.33,11.038,4.05,8.92,-0.52396435,504.0,67.6,-0.74775934
9.771,10.174,2.08,8.47,0.12283783,109.0,16.2,-3.2042947
10.36,10.822,3.12,8.81,-0.7541958,468.0,48.4,-3.7138813
8.973,10.016,3.53,7.98,-1.1104165,81.0,19.9,-0.046874333
8.662,10.255,5.15,8.86,-0.62323946,0.0,39.0,-3.6483784
9.577,10.484,5.64,9.49,-1.3636075,393.0,62.8,-1.1817465
9.667,10.278,2.6,8.68,-0.035781045,301.0,53.7,-1.3260226
8.647,10.46,5.56,9.18,-1.2156504,124.0,50.2,-1.0030167
8.178,9.111108,3.52,8.0,-0.60329664,49.0,35.6,-0.27033418
9.465,10.49,4.17,9.05,-1.3102739,356.0,56.8,-3.82914
9.91,10.689,3.56,8.81,-0.4231343,364.0,43.4,-3.4768362
10.08,10.555,2.49,8.5,0.085114494,111.0,21.9,-0.79303706
9.99,10.1198,2.54,8.32,-0.40285096,276.0,52.3,-3.647797
9.031,10.245,4.71,8.46,-0.870202,312.0,83.7,-0.37557784
8.702,10.268,4.96,9.28,-1.5083871,0.0,63.7,-0.43911627
8.697,10.241,6.03,9.42,-1.5938311,0.0,64.8,-0.47134238
9.37,11.002,5.0,9.32,-0.06521716,713.0,71.4,-0.52604365
9.98,10.631,3.51,8.98,-0.9464842,399.0,53.8,-3.871737
8.185,9.872765,5.61,8.93,-1.4305369,0.0,63.5,-0.8860681
8.954,10.462,5.45,9.11,-1.2194079,0.0,24.7,-3.5196006
8.709,10.428,5.84,9.1,-1.3665539,0.0,50.5,-3.691489
8.567,10.288,3.27,8.74,0.33016646,103.0,53.0,-3.565427
9.437,10.626,6.04,9.63,-1.292857,348.0,54.4,-3.833057
10.2,10.803,3.69,8.75,0.729181,364.0,79.0,-3.7999027
9.91,10.55,2.41,8.41,0.53925014,140.0,19.3,-3.7669935
10.077,10.726,2.12,9.03,0.47397834,434.0,47.6,-3.7620687
10.3,10.681,2.57,8.35,-1.1103448,336.0,70.8,-1.4623197
8.3,9.9205065,5.8,8.71,-1.6373416,0.0,41.3,-0.14167915
8.082,9.018043,3.14,7.68,-1.2518518,56.0,8.0,-0.09748408
8.72,9.426019,4.05,8.26,-1.6488371,208.0,90.0,-0.15066318
9.337,11.151,6.06,9.05,-0.48966938,0.0,76.9,-1.0551058
7.991,9.458057,5.19,8.47,-2.24375,0.0,65.1,-1.0233666
9.368,10.449,3.91,8.73,0.22360066,272.0,66.3,-0.01818666
9.75,10.069737,2.24,8.48,0.088917494,250.0,55.1,-1.0940964
9.15,10.98,5.71,9.47,-1.1583332,0.0,71.1,-3.6151571
10.05,10.064,2.23,8.24,0.027988445,151.0,30.4,-3.8069875
9.035,10.82,5.9,9.35,-1.1347107,0.0,35.4,-1.1170236
9.518,10.856,3.05,8.81,0.67403334,275.0,15.8,-1.3699248
9.346,10.065,2.74,8.14,-0.17131145,79.0,32.2,-0.4841111
8.713,10.344,5.4,8.68,-1.5004587,241.0,33.4,-3.7485251
9.143,10.906,4.4,8.9,-0.029245116,0.0,72.9,-3.6918786
8.925,10.916,5.5,8.62,0.69218373,280.0,67.0,-0.49836126
8.931,10.676,6.12,9.11,-1.2568493,0.0,31.0,-3.7690673
9.98,11.075,3.91,9.2,-0.9040541,526.0,54.2,-4.799759
10.46,10.833,2.49,8.43,0.5607262,422.0,45.3,-0.45158878
9.96,10.115,2.36,8.11,0.16690323,274.0,53.8,-0.65728974
8.872,10.611,4.46,8.98,-0.6715084,0.0,45.3,-4.4290466
9.931,10.56,3.94,9.15,0.26357874,331.0,69.8,-3.5349
9.713,10.572,3.48,9.0,0.23300663,296.0,55.1,-3.596261
8.66,10.301,4.83,8.55,-0.42614836,0.0,90.0,-0.25219774
9.316,10.381,2.95,9.03,0.5326507,350.0,50.2,-3.9244642
10.291,10.551,2.99,8.55,0.0909677,342.0,54.3,-3.1969283
9.679,10.673,4.12,8.97,-0.35695645,419.0,80.2,-1.4314139
9.77,10.005,2.37,8.22,0.0006666692,327.0,63.9,-4.426248
9.183,10.672,4.58,9.07,-1.0738993,318.0,40.0,-4.099041
9.389,11.239,5.88,9.04,-1.167669,0.0,41.2,-0.8301353
8.635,10.539,5.89,9.04,-1.4192028,150.0,40.0,-0.73975754
8.935,10.712,6.05,9.47,-1.2531008,0.0,66.9,-0.47844204
8.914,10.71,4.35,8.64,0.35696048,0.0,57.6,-0.8183095
8.422,10.090532,5.8,9.05,-1.6554346,0.0,56.7,-1.0124664
8.587,9.126222,2.77,7.48,-0.84753776,70.0,47.1,-0.4156093
9.936,10.687,3.12,8.88,0.13930729,222.0,50.0,-4.120895
8.031,9.020963,4.34,7.81,-1.5101563,0.0,74.4,-0.40986314
9.572,11.307,6.06,9.02,-1.0585986,0.0,34.8,-0.82368964
9.593,11.386,6.99,9.26,-0.9821428,0.0,57.3,-0.9424476
9.55,10.773,3.81,9.17,0.0062232,364.0,50.0,-1.201219
