num_features,features,rmse,r2
6,"iMAG, e_iMAG, logSFR22, Dist, Ag, surface_brightness_proxy",0.25054240433631975,0.7995239430856993
7,"iMAG, e_iMAG, logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.2505467887743152,0.79951692644886
6,"e_iMAG, logMsT, logSFR22, Dist, Ag, surface_brightness_proxy",0.2505595696197387,0.7994964719178679
6,"iMAG, Dist, RVel, Ag, Ai, surface_brightness_proxy",0.25057636164693364,0.7994695962848865
7,"iMAG, e_iMAG, logMsT, logSFR22, Dist, RVel, Ag",0.25058413186636097,0.7994571594421823
5,"iMAG, e_logMsT, Dist, Ag, surface_brightness_proxy",0.25058560877744945,0.7994547954870862
8,"iMAG, e_iMAG, logMsT, e_logMsT, Dist, RVel, Ai, surface_brightness_proxy",0.2505861924711446,0.7994538612186869
6,"e_iMAG, logMsT, Dist, RVel, Ag, surface_brightness_proxy",0.2506074210457425,0.7994198809825388
6,"logSFR22, Dist, RVel, Ag, Ai, surface_brightness_proxy",0.250627671778556,0.799387463279225
7,"logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, Ai",0.2506668176452787,0.7993247905115558
8,"e_iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ai, surface_brightness_proxy",0.25066688146393346,0.7993246883295146
7,"iMAG, logMsT, e_logMsT, Dist, RVel, Ai, surface_brightness_proxy",0.2506823407152745,0.7992999352729806
6,"iMAG, e_iMAG, logMsT, Dist, RVel, surface_brightness_proxy",0.25068319604430606,0.7992985656919853
7,"iMAG, e_iMAG, logMsT, Dist, RVel, Ai, surface_brightness_proxy",0.2506973817350503,0.7992758504156554
6,"logMsT, logSFR22, e_logMsT, Dist, Ag, surface_brightness_proxy",0.2507127058973367,0.7992513106822797
8,"e_iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ag, Ai",0.2507244111893976,0.7992325651074575
6,"iMAG, logMsT, Dist, RVel, Ag, surface_brightness_proxy",0.2507435250177038,0.7992019531655722
8,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, Dist, Ag, Ai",0.2507549809649637,0.7991836046607967
5,"iMAG, Dist, RVel, Ag, surface_brightness_proxy",0.25076144026447766,0.799173258705183
7,"iMAG, logMsT, e_logMsT, Dist, RVel, Ag, Ai",0.25080289109059495,0.7991068599611163
7,"iMAG, logSFR22, Dist, RVel, Ag, Ai, surface_brightness_proxy",0.2508342122868723,0.799056680265499
6,"iMAG, e_iMAG, Dist, Ag, Ai, surface_brightness_proxy",0.2508469068321649,0.7990363405470883
7,"iMAG, e_iMAG, logSFR22, Dist, RVel, Ag, Ai",0.2508511488096636,0.7990295436482129
7,"logMsT, logSFR22, e_logMsT, Dist, RVel, Ai, surface_brightness_proxy",0.2508815253430479,0.7989808681254447
7,"iMAG, logMsT, e_logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.2508941831025449,0.7989605835229028
6,"iMAG, e_iMAG, e_logMsT, Dist, Ag, surface_brightness_proxy",0.2508964744178593,0.7989569114824313
7,"logMsT, logSFR22, e_logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.2509117873876197,0.7989323701995037
6,"iMAG, e_iMAG, logMsT, Dist, Ag, surface_brightness_proxy",0.2509245645413858,0.7989118917878484
6,"e_iMAG, logSFR22, Dist, Ag, Ai, surface_brightness_proxy",0.2509547634686796,0.7988634867176316
7,"iMAG, e_iMAG, logSFR22, Dist, Ag, Ai, surface_brightness_proxy",0.2509642760371742,0.798848238064084
5,"e_iMAG, Dist, Ag, Ai, surface_brightness_proxy",0.2509834450554863,0.79881750835922
5,"iMAG, e_iMAG, Dist, Ag, surface_brightness_proxy",0.2509861279356959,0.7988132072674884
6,"logMsT, Dist, RVel, Ag, Ai, surface_brightness_proxy",0.25100441927683426,0.7987838820582975
6,"iMAG, e_logMsT, Dist, RVel, Ag, Ai",0.25101397480754933,0.7987685615041876
6,"iMAG, logMsT, e_logMsT, Dist, RVel, surface_brightness_proxy",0.2510157237368709,0.7987657573512352
6,"logMsT, logSFR22, Dist, RVel, Ag, surface_brightness_proxy",0.25102981977898914,0.7987431556913549
7,"e_iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, surface_brightness_proxy",0.25103199233736273,0.7987396720882133
6,"e_iMAG, logSFR22, Dist, RVel, Ag, surface_brightness_proxy",0.25109954606777035,0.7986313375674934
7,"iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ai",0.25112253180821686,0.7985944691642374
5,"Dist, RVel, Ag, Ai, surface_brightness_proxy",0.25116890144408777,0.7985200834586624
7,"iMAG, e_iMAG, e_logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.25120136540391824,0.7984679969257669
6,"iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel",0.2512116948280261,0.7984514225546223
6,"iMAG, logMsT, e_logMsT, Dist, RVel, Ag",0.2512250481841153,0.7984299950374348
6,"e_iMAG, logSFR22, e_logMsT, Dist, Ag, surface_brightness_proxy",0.2512314484042182,0.7984197244944261
6,"iMAG, logMsT, e_logMsT, Dist, Ag, surface_brightness_proxy",0.2512600086840554,0.7983738901344635
7,"iMAG, e_iMAG, logMsT, e_logMsT, Dist, Ag, surface_brightness_proxy",0.2512698725992419,0.7983580590287025
8,"e_iMAG, logMsT, logSFR22, e_logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.25131601204547754,0.7982839992013983
8,"iMAG, logMsT, logSFR22, e_logMsT, RVel, Ag, Ai, surface_brightness_proxy",0.25133717375847386,0.798250027344221
6,"iMAG, e_logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.25133865786667076,0.7982476447307169
7,"iMAG, e_iMAG, logMsT, e_logMsT, Dist, RVel, surface_brightness_proxy",0.25138754645325373,0.7981691502655184
